Operator,a1,Turbine rating (kW),Blade length (m),Tower height (m),Built duration,Metocean,water_depth2,Type_Alpha,Type_beta,Type_delta,Type_gamma,Region_Asia,Region_Europe,Region_Middle East,Region_UK,Region_US,nac_weight,blade_weight
0.0,250.0,4000.0,69.0,207.0,36.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,22.0
0.0,250.0,4000.0,69.0,207.0,31.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,90.0,22.0
0.0,250.0,450.0,61.199999999999996,173.1,44.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,68.0,21.5
0.0,240.0,2300.0,70.5,201.0,40.333333333333336,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,66.0,20.0
1.0,240.0,2450.0,100.5,270.0,42.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,105.0,17.7
0.0,232.0,1400.0,42.0,126.0,36.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,120.0,
0.0,225.0,1250.0,38.5,115.5,36.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,
0.0,225.0,2110.0,61.199999999999996,173.1,48.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,18.0
0.0,220.0,2120.0,41.099999999999994,123.29999999999998,44.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,16.0
0.0,200.0,2120.0,40.0,120.0,36.666666666666664,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,69.0,9.5
0.0,190.0,400.0,35.5,106.5,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,9.6
0.0,185.0,5300.0,74.2,222.6,38.333333333333336,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,20.0
0.0,180.0,350.0,34.5,103.5,46.666666666666664,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,14.0
0.0,180.0,1800.0,49.300000000000004,147.9,36.666666666666664,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,16.0
0.0,173.0,2200.0,50.5,151.5,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,170.0,1000.0,34.5,103.5,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,160.0,4500.0,71.2,213.6,46.333333333333336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,20.0
0.0,160.0,2830.0,75.4,215.7,48.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,20.0
1.0,157.0,4000.0,84.6,253.79999999999998,55.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,16.0
1.0,154.0,1500.0,39.0,117.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,9.6
0.0,150.0,650.0000000000001,43.0,129.0,37.333333333333336,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,14.0
0.0,150.0,1700.0,27.600000000000005,82.80000000000001,31.333333333333332,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
0.0,150.0,1000.0,37.8,113.39999999999999,48.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,8.5
0.0,150.0,0.0,25.300000000000004,75.9,34.666666666666664,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,25.0
0.0,150.0,2120.0,41.300000000000004,123.9,36.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,92.0,19.0
0.0,150.0,2120.0,50.6,151.8,32.66666666666667,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,20.0
